fecha,UVA
2017-04-27,18.45
2017-04-28,18.46
2017-04-29,18.48
2017-04-30,18.48
2017-05-01,18.48
2017-05-02,18.48
2017-05-03,18.54
2017-05-04,18.55
2017-05-05,18.56
2017-05-06,18.58
2017-05-07,18.58
2017-05-08,18.58
2017-05-09,18.62
2017-05-10,18.64
2017-05-11,18.65
2017-05-12,18.67
2017-05-13,18.68
2017-05-14,18.68
2017-05-15,18.68
2017-05-16,18.73
2017-05-17,18.74
2017-05-18,18.76
2017-05-19,18.77
2017-05-20,18.79
2017-05-21,18.79
2017-05-22,18.79
2017-05-23,18.83
2017-05-24,18.85
2017-05-25,18.87
2017-05-26,18.87
2017-05-27,18.9
2017-05-28,18.9
2017-05-29,18.9
2017-05-30,18.94
2017-05-31,18.96
2017-06-01,18.97
2017-06-02,18.99
2017-06-03,19.0
2017-06-04,19.0
2017-06-05,19.0
2017-06-06,19.05
2017-06-07,19.07
2017-06-08,19.08
2017-06-09,19.1
2017-06-10,19.11
2017-06-11,19.11
2017-06-12,19.11
2017-06-13,19.16
2017-06-14,19.18
2017-06-15,19.19
2017-06-16,19.21
2017-06-17,19.22
2017-06-18,19.22
2017-06-19,19.22
2017-06-20,19.24
2017-06-21,19.24
2017-06-22,19.26
2017-06-23,19.27
2017-06-24,19.28
2017-06-25,19.28
2017-06-26,19.28
2017-06-27,19.3
2017-06-28,19.31
2017-06-29,19.32
2017-06-30,19.33
2017-07-01,19.34
2017-07-02,19.34
2017-07-03,19.34
2017-07-04,19.36
2017-07-05,19.37
2017-07-06,19.38
2017-07-07,19.39
2017-07-08,19.4
2017-07-09,19.4
2017-07-10,19.4
2017-07-11,19.42
2017-07-12,19.43
2017-07-13,19.44
2017-07-14,19.45
2017-07-15,19.46
2017-07-16,19.46
2017-07-17,19.46
2017-07-18,19.48
2017-07-19,19.49
2017-07-20,19.49
2017-07-21,19.5
2017-07-22,19.51
2017-07-23,19.51
2017-07-24,19.51
2017-07-25,19.53
2017-07-26,19.54
2017-07-27,19.55
2017-07-28,19.55
2017-07-29,19.56
2017-07-30,19.56
2017-07-31,19.56
2017-08-01,19.58
2017-08-02,19.59
2017-08-03,19.6
2017-08-04,19.6
2017-08-05,19.61
2017-08-06,19.61
2017-08-07,19.61
2017-08-08,19.63
2017-08-09,19.64
2017-08-10,19.65
2017-08-11,19.65
2017-08-12,19.66
2017-08-13,19.66
2017-08-14,19.66
2017-08-15,19.68
2017-08-16,19.69
2017-08-17,19.7
2017-08-18,19.71
2017-08-19,19.72
2017-08-20,19.72
2017-08-21,19.72
2017-08-22,19.72
2017-08-23,19.77
2017-08-24,19.78
2017-08-25,19.79
2017-08-26,19.8
2017-08-27,19.8
2017-08-28,19.8
2017-08-29,19.83
2017-08-30,19.84
2017-08-31,19.85
2017-09-01,19.86
2017-09-02,19.87
2017-09-03,19.87
2017-09-04,19.87
2017-09-05,19.9
2017-09-06,19.92
2017-09-07,19.93
2017-09-08,19.94
2017-09-09,19.95
2017-09-10,19.95
2017-09-11,19.95
2017-09-12,19.98
2017-09-13,19.99
2017-09-14,20.0
2017-09-15,20.01
2017-09-16,20.02
2017-09-17,20.02
2017-09-18,20.02
2017-09-19,20.05
2017-09-20,20.06
2017-09-21,20.07
2017-09-22,20.08
2017-09-23,20.09
2017-09-24,20.09
2017-09-25,20.09
2017-09-26,20.12
2017-09-27,20.13
2017-09-28,20.14
2017-09-29,20.15
2017-09-30,20.16
2017-10-01,20.16
2017-10-02,20.16
2017-10-03,20.18
2017-10-04,20.19
2017-10-05,20.2
2017-10-06,20.21
2017-10-07,20.22
2017-10-08,20.22
2017-10-09,20.22
2017-10-10,20.22
2017-10-11,20.26
2017-10-12,20.27
2017-10-13,20.28
2017-10-14,20.29
2017-10-15,20.29
2017-10-16,20.29
2017-10-17,20.32
2017-10-18,20.33
2017-10-19,20.35
2017-10-20,20.36
2017-10-21,20.37
2017-10-22,20.37
2017-10-23,20.37
2017-10-24,20.41
2017-10-25,20.42
2017-10-26,20.44
2017-10-27,20.45
2017-10-28,20.46
2017-10-29,20.46
2017-10-30,20.46
2017-10-31,20.5
2017-11-01,20.51
2017-11-02,20.52
2017-11-03,20.54
2017-11-04,20.55
2017-11-05,20.55
2017-11-06,20.55
2017-11-07,20.55
2017-11-08,20.6
2017-11-09,20.61
2017-11-10,20.62
2017-11-11,20.64
2017-11-12,20.64
2017-11-13,20.64
2017-11-14,20.68
2017-11-15,20.69
2017-11-16,20.7
2017-11-17,20.71
2017-11-18,20.72
2017-11-19,20.72
2017-11-20,20.72
2017-11-21,20.72
2017-11-22,20.76
2017-11-23,20.77
2017-11-24,20.79
2017-11-25,20.8
2017-11-26,20.8
2017-11-27,20.8
2017-11-28,20.83
2017-11-29,20.84
2017-11-30,20.85
2017-12-01,20.86
2017-12-02,20.87
2017-12-03,20.87
2017-12-04,20.87
2017-12-05,20.9
2017-12-06,20.91
2017-12-07,20.92
2017-12-08,20.93
2017-12-09,20.93
2017-12-10,20.93
2017-12-11,20.93
2017-12-12,20.98
2017-12-13,20.99
2017-12-14,21.0
2017-12-15,21.01
2017-12-16,21.02
2017-12-17,21.02
2017-12-18,21.02
2017-12-19,21.05
2017-12-20,21.06
2017-12-21,21.07
2017-12-22,21.08
2017-12-23,21.09
2017-12-24,21.09
2017-12-25,21.09
2017-12-26,21.09
2017-12-27,21.12
2017-12-28,21.13
2017-12-29,21.14
2017-12-30,21.15
2017-12-31,21.15
2018-01-01,21.15
2018-01-02,21.15
2018-01-03,21.19
2018-01-04,21.2
2018-01-05,21.21
2018-01-06,21.22
2018-01-07,21.22
2018-01-08,21.22
2018-01-09,21.25
2018-01-10,21.26
